제품명,브랜드,카테고리,성분명
실키모이스춰라이징 로션,퓨어비비(PureBbee),로션,"정제수;글리세린;에틸헥실팔미테이트;펜틸렌글라이콜;하이드로제네이티드폴리(C6-14올레핀);시어버터;옥수수전분;알로에베라잎추출물;호박씨오일;당근추출물;로얄젤리추출물;꿀추출물;프로폴리스추출물;실리카;올레익/리놀레익/리놀레닉폴리글리세라이드;아이소노닐아이소노나노에이트;하이드로제네이티드폴리아이소부텐;하이드록시에틸아크릴레이트;스쿠알란;다이아이소스테아릴말레이트;폴리솔베이트60;판테놀;카프릴릴글라이콜;하이드로제네이티드레시틴;다이포타슘글리시리제이트;솔비탄아이소스테아레이트;스테아릴글리시레티네이트;트로메타민;부틸렌글라이콜;1,2-헥산다이올;잔탄검;카보머;다이소듐이디티에이;향료"
프로텍티브 내피 & 수딩 크림,퓨어비비(PureBbee),크림/젤,"정제수;사이클로펜타실록세인;글리세린;징크옥사이드;사이클로헥사실록세인;에틸헥실팔미테이트;하이드로제네이티드폴리;다이메티콘;펜틸렌글라이콜;피이지-10다이메티콘;세틸피이지/피피지-10/1다이메티콘;알로에베라잎추출물;호박씨오일;당근추출물;로얄젤리추출물;꿀추출물;프로폴리스추출물;소듐클로라이드;다이스테아다이모늄헥토라이트;아이소프로필미리스테이트;메틸메타크릴레이트크로스폴리머;다이메티콘/비닐다이메티콘크로스폴리머;폴리에틸렌;솔비탄세스퀴올리에이트;판테놀;합성비즈왁스;비닐다이메티콘/메티콘실세스퀴옥세인크로스폴리머;글리세릴베헤네이트;카프릴릴글라이콜;폴리글리세릴-6옥타스테아레이트;다이포타슘글리시리제이트;소듐하이알루로네이트;부틸렌글라이콜;1,2-헥산다이올;다이소듐이디티에이;향료"
바스 앤 샴푸,퓨어아리아(PUREARIA),클렌저/샴푸,정제수;코코-글루코사이드;소듐메틸코코일타우레이트;소듐클로라이드;글리세린;카프릴하이드록사믹애씨드;카프릴릴글라이콜;에틸헥실글리세린;프로판다이올;시트릭애씨드;베타-글루칸;판테놀;편백수;병풀추출물;바다포도추출물;청각추출물;녹차추출물;라벤더오일;에스에이치-올리고펩타이드-1;부틸렌글라이콜;뽕나무뿌리추출물;감나무잎추출물;알로에베라잎추출물
아리아베 로션,퓨어아리아(PUREARIA),로션,정제수;카프릴릭/카프릭트라이글리세라이드;글리세린;부틸렌글라이콜;글리세릴스테아레이트에스이;해바라기씨오일;올리브;스쿠알란;비즈왁스;세테아릴올리베이트;솔비탄올리베이트;마카다미아넛오일;스위트아몬드오일;베타-글루칸;소듐아크릴레이트/소듐아크릴로일다이메틸다우레이트코폴리머;아이소헥사데칸;폴리솔베이트80;카프릴하이드록사믹애씨드;카프릴릴글라이콜;베타인;아르간커넬오일;판테놀;편백수;라벤더오일;알란토인;세라마이드엔피;알에이치-올리고펩타이드-1;알지닌;카보머
아리아베 수딩 젤,퓨어아리아(PUREARIA),크림/젤,"정제수;글리세린;1,2-헥산다이올;테아닌;우유지질;글루타티온;알로에베라잎추출물;부틸렌글라이콜;베타-글루칸;카프릴하이드록사믹애씨드;카프릴릴글라이콜;알지닌;판테놀;베타인;하이알루로닉애씨드;바다포도추출물;청각추출물;알란토인;다이포타슘글리시리제이트;영지추출물;족도리풀뿌리추출물;측백나무잎추출물;도둑놈의지팡이뿌리추출물;옥틸도데세스-16;아크릴레이트/C10-30알킬아크릴레이트크로스폴리머;소듐카보머"
아리아베 크림,퓨어아리아(PUREARIA),크림/젤,정제수;글리세린;부틸렌글라이콜;하이알루로닉애씨드;다이프로필렌글라이콜;하이드로제네이티드폴리데센;카프릴릭/카프릭트라이글리세라이드;세테아릴알코올;잇꽃씨오일;해바라기씨오일;비즈왁스;마카다미아넛오일;올리브오일;베타인;시어버터;세테아릴올리베이트;솔비탄올리베이트;스테아릴알코올;베타-글루칸;스쿠알란;솔비탄스테아레이트;편백수;알지닌;카프릴하이드록사믹애씨드;카프릴릴글라이콜;카보머;세라마이드엔피;아크릴레이트/C10-30알킬아크릴레이트크로스폴리머;판테놀;다이포타슘글리시리제이트;알란토인;왕귤껍질오일;알에이치-올리고펩타이드-1;영지추출물;족도리풀뿌리추출물;측백나무잎추출물;도둑놈의지팡이뿌리추출물
모이스처라이징 로션,퓨어엠(PUREM),로션,연꽃추출물;글리세린;카프릴릭/카프릭트라이글리세라이드;해바라기씨오일;에틸헥실스테아레이트;프로판다이올;마카다미아넛오일;세테아릴올리베이트;솔비탄올리베이트;베타-글루칸;에틸헥산다이올;글리세릴카프릴레이트;판테놀;글리세릴스테아레이트에스이;알로에베라잎추출물;비즈왁스;알지닌;아크릴레이트/C10-30알킬아크릴레이트크로스폴리머;소듐아크릴레이트/소듐아크릴로일다이메틸다우레이트코폴리머;아이소헥사데칸;폴리솔베이트80;시어버터;병풀추출물;부틸렌글라이콜;산수유열매추출물;오미자추출물;구기자추출물;오디추출물;복분자추출물;잣나무씨추출물;참당귀뿌리추출물;시호추출물;맥문동추출물;천문동뿌리추출물;침향추출물;황기뿌리추출물;향료;세라마이드엔피;브로콜리싹추출물;무씨추출물;순무잎추출물;구주소나무싹추출물;서양유채싹추출물;보리추출물;양배추잎추출물;자근추출물;검은깨추출물;구릿대뿌리추출물;창이자추출물;귤껍질추출물;살구씨추출물
바디워시,퓨어엠(PUREM),클렌저/워시,다이소듐라우레스설포석시네이트;정제수;글리세린;소듐라우릴글루코오스카복실레이트;라우릴글루코사이드;소듐라우로일글루타메이트;연꽃추출물;소듐클로라이드;소듐글루코네이트;판테놀;에틸헥산다이올;글리세릴카프릴레이트;베타-글루칸;알로에베라잎추출물;참당귀뿌리추출물;시호추출물;맥문동추출물;천문동뿌리추출물;침향추출물;병풀추출물;황기뿌리추출물;부틸렌글라이콜;브로콜리싹추출물;무씨추출물;순무잎추출물;구조소나무싹추출물;서양유채싹추출물;보리추출물;양배추잎추출물;자근추출물;검은깨추출물;백지추출물;창이자추출물;귤껍질추출물;살구씨추출물;시트릭애씨드;향료
수딩 젤,퓨어엠(PUREM),크림/젤,"연꽃추출물;글리세린;부틸렌글라이콜;하이알루로닉애씨드;판테놀;베타-글루칸;베타인;알로에베라잎추출물;폴리솔베이트80;병풀추출물;산수유열매추출물;오미자추출물;구기자추출물;오디추출물;복분자추출물;잣나무씨추출물;참당귀뿌리추출물;시호추출물;맥문동추출물;천문동추출물;침향추출물;황기뿌리추출물;다이포타슘글리시리제이트;브로콜리싹추출물;무씨추출물;순무잎추출물;구주소나무싹추출물;서양유채싹추출물;보리추출물;양배추잎추출물;1,2-헥산다이올;정제수;자근추출물;검은깨추출물;백지추출물;창이자추출물;귤껍질추출물;살구씨추출물;알란토인;알지닌;카보머;에틸헥산다이올;글리세릴카프릴레이트"
큐어 밤,퓨어엠(PUREM),크림/젤,시어버터;마카다미아넛오일;하이드로제네이티드폴리데센;비즈왁스;스쿠알란;라놀린;망고씨버터;왕귤껍질오일;토코페릴아세테이트;솔비탄세스퀴올리에이트;올리브오일;해바라기씨오일;호호바씨오일;녹차씨오일;병풀추출물;쇠비름추출물;정제수;부틸렌글라이콜;뽕나무뿌리추출물;녹차추출물;감나무잎추출물;알로에베라잎추출물
프리미엄 물티슈,퓨어오가닉(PUREORGANIC),물티슈,정제수;다이소듐이디티에이;글리세린;부틸렌글라이콜;메틸프로판다이올;프로폴리스추출물;연꽃추출물;에델바이스추출물;캐모마일꽃추출물;시트릭애씨드;하이드록시아세토페논;에틸헥실글리세린;코카마이드메틸엠이에이;소듐벤조에이트;베르가모트오일
베이퍼 밤,퓨어파파야케어(P'UREPAPAYACARE),크림/젤,코코넛야자오일;쉐어버터;비즈왁스;트라이베헤닌;좁은잎페퍼민트검잎/줄기오일;스왐프페이퍼바크잎오일;유칼립투스 디베스잎/잔가지오일;토코페롤;파파야열매추출물;레몬머틀잎오일;해바라기씨오일
파파야 리뉴 크림,퓨어파파야케어(P'UREPAPAYACARE),크림/젤,정제수;쉐어버터;글리세린;락토바실러스/파파야열매발효추출물;올리보일하이드롤라이즈드밀단백질;마카다미아넛오일;스위트아몬드오일;스위트브라이어씨오일;세테아릴알코올;글리세릴올리에이트;글리세릴스테아레이트;카프릴로일글리세린/세바식애씨드코폴리머;호호바씨오일;마트리카리아추출물;호동씨오일;알로에베라잎즙;오렌지껍질오일;토코페롤;병풀추출물;소듐레불리네이트;향료;소듐아니세이트;포타슘솔베이트;락틱애씨드;소듐벤조에이트
파파야 오인트먼트 (포포크림),퓨어파파야케어(구.파이토케어)(P'UREPAPAYACARE),크림/젤,마카다미아넛오일;시어버터;호호바씨오일;트라이베헤닌;파파야열매추출물;솔비탄올리베이트;비즈왁스;향료;토코페롤;벤조인나무검;포트마리골드꽃추출물
네츄럴 데일리 베이비 로션,퓨엣베이비(PUETBABY),로션,병풀잎수;프로판다이올;글리세릴스테아레이트시트레이트;스쿠알란;알로에베라잎추출물;카프릴릭/카프릭트라이글리세라이드;프로필렌글라이콜디카프릴레이트;글리세린;해바라기씨오일;다이카프릴릴카보네이트;미리스틸미리스테이트;호호바씨오일;세테아릴글루코사이드;솔비탄올리베이트;폴리글리세릴-3스테아레이트;하이드로제네이티드레시틴;다이카프릴릴에터;옥틸도데칸올;베헤닐알코올;올리브잎추출물;스페인감초뿌리추출물;서양민들레잎추출물;시어버터;우스니아추출물;할미꽃추출물;초피나무열매추출물;빅사씨오일;돌콩오일;글리세릴카프릴레이트;효모베타-글루칸;약모밀추출물;쇠비름추출물;잇꽃씨추출물;토코페롤;솔비탄스테아레이트;폴리글리세릴-4카프레이트;폴리글리세릴-3피씨에이;바위돌꽃부리추출물;다마스크장미꽃추출물;소듐글루코네이트;p-아니식애씨드;다이포타슘글리시리제이트;일랑일랑꽃오일;베르가모트껍질오일;센티드제라늄꽃오일;오렌지껍질오일;서양호주산달우드오일;잔탄검
키즈 버블 손세정제,퓨엣베이비(PUETBABY),기타,포타슘코코에이트;정제수;포타슘코코일글리시네이트;글리세린;프로판다이올;코코-베타인;글리세릴카프릴레이트;자몽껍질오일;소듐글루코네이트;비누풀뿌리추출물;칡뿌리추출물;쐐기풀추출물;파파야잎추출물;겐티아나뿌리추출물;우스니아추출물;할미꽃추출물;초피나무열매추출물;p-아니식애씨드;락토바실러스/콩발효추출물;흰버드나무껍질추출물;실론시나몬추출물;오레가노잎추출물;편백잎추출물;황금추출물;쇠비름추출물;잔탄검;라벤더오일
베이비 로션,퓨잉(puuing),로션,알로에베라잎수;선인장추출물;해바라기씨오일;스위트아몬드오일;글리세린;올리보일하이드롤라이즈드밀단백질;세테아릴알코올;글리세릴올리에이트;글리세릴스테아레이트;올리브오일;쉐어버터;세테아릴글루코사이드;로즈힙열매오일;알로에베라잎추출물;감국꽃추출물;감초추출물;도둑놈의지팡이뿌리추출물;참당귀뿌리추출물;백지추출물;연교추출물;당느릅나무뿌리추출물;지치뿌리추출물;작약추출물;탱자추출물;귤껍질추출물;황금추출물;알란토인;잔탄검;초피나무열매추출물;할미꽃추출물;우스니아추출물;자몽껍질오일
샴푸 앤 바스,퓨잉(puuing),클렌저/워시,정제수;데실글루코사이드;알로에베라잎수;글리세린;소듐코코일사코시네이트;부틸렌글라이콜;캐모마일꽃추출물;라벤더추출물;로즈마리추출물;알로에베라잎추출물;카프릴하이드록사믹애씨드;카프릴릴글라이콜;라벤더오일;유칼립투스잎오일;소듐클로라이드;시트릭애씨드
시크릿 로션,퓨토(putto),로션,"약모밀추출물;당느릅나무뿌리추출물;긴병꽃풀꽃/잎/줄기추출물;질경이추출물;상엽추출물;부틸렌글라이콜;다이프로필렌글라이콜;카프릴릭/카프릭트라이글리세라이드;1,2-헥산다이올;사이클로펜타실록세인;세테아릴알코올;폴리글리세릴-3메틸글루코오스다이스테아레이트;글리세릴스테아레이트;비즈왁스;다이메티콘;베타인;솔빌탄스테아레이트;피이지-100스테아레이트;폴리아크릴마이드;C13-14아이소파라핀;라우레스-7;카보머;트라이에탄올아민;베타-글루칸;소듐하이알루로네이트;향료;다이소듐이디티에이;세라마이드엔피"
시크릿 리퀴드 겔,퓨토(putto),크림/젤,"긴병꽃풀꽃/잎/줄기추출물;당느릅나무뿌리추출물;상엽추출물;약모밀추출물;질경이추출물;1,2-헥산다이올;부틸렌글라이콜;알지닌;카보머;베타-글루칸;판테놀;베타인;알란토인;세라마이드엔피;소듐하이알루로네이트"
시크릿 리퀴드,퓨토(putto),스킨케어 기타,"약모밀추출물;질경이추출물;긴병꽃풀꽃/잎/줄기추출물;상엽추출물;당느릅나무뿌리추출물;부틸렌글라이콜;글리세린;베타인;소듐하이알루로네이트;1,2-헥산다이올;베타-글루칸;판테놀;다이소듐이디티에이"
시크릿 물티슈,퓨토(putto),물티슈,정제수;약모밀추출물;당느릅나무뿌리추출물;긴병꽃풀꽃/잎/줄기추출물;질경이추출물;상엽추출물;글리세린;부틸렌글라이콜;프로필렌글라이콜;베어베리잎추출물;카카오추출물;편백수;소듐시트레이트;시트릭애씨드;카프릴릴/카프릴위트브랜/스트로글라이코사이드;퓨젤위트브랜/스트로글라이코사이드;폴리글리세릴-5올리에이트;소듐코코일루글루타메이트;글리세릴카프릴레이트;세트리모늄클로라이드;세틸피리디늄클로라이드;소듐데하이드로아세테이트;소듐벤조에이트;향료
퓨토(putto),시크릿 버블바스,클렌저/워시,"코카미도프로필베타인;긴병꽃풀추출물;당느릅나무뿌리추출물;상엽추출물;약모밀추출물;질경이추출물;데실글루코사이드;글리세린;다이소듐코코암포다이아세테이트;1,2-헥산다이올;부틸렌글라이콜;소듐메틸코코일타우레이트;베타-글루칸;소듐하이알루로네이트;스테아트라이모늄클로라이드;향료;시트릭애씨드;판테놀;다이소듐이디티에이"
시크릿 샴푸 앤 버스,퓨토(putto),클렌저/워시,"약모밀추출물;질경이추출물;긴병꽃풀꽃/잎/줄기추출물;상엽추출물;당느릅나무뿌리추출물;코카미도프로필베타인;다이프로필렌글라이콜;글리세린;아크릴레이트코폴리머;라루릴글루코사이드;코코-글루코사이드;폴리쿼터늄-10;1,2-헥산다이올;포타슘하이드록사이드;다이소듐이디티에이;향료"
시크릿 선 스크린,퓨토(putto),선케이,"긴병꽃풀꽃/잎/줄기추출물;약모밀추출물;질경이추출물;사이클로펜타실록세인;프로판다이올;티타늄디옥사이드;에칠헥실메톡시신나메이트;세테아릴알코올;글리세린;다이프로필렌글라이콜;당느릅나무뿌리추출물;부틸렌글라이콜;상엽추출물;옥토크릴렌;폴리솔베이트60;폴리글리세릴-3메틸글루코오스다이스테아레이트;메티콘;알루미나;피이지-10다이메티콘;헥실라우레이트;베타인;솔비탄올리베이트;1,2-헥산다이올;글리세릴스테아레이트;피이지-100스테아레이트;프로필렌글라이콜;비스-에칠헥실옥시페놀메톡시페닐트리아진;마그네슘알루미늄실리케이트;향료;카프릴하이드록사믹애씨드;카프릴릴글라이콜;잔탄검;트라이에탄올아민;판테놀;하이드록시에틸셀룰로오스;다이소듐이디티에이;소듐폴리아크릴레이트;토코페릴아세테이트;베타-글루칸;세라마이드엔피;쉐어버터;스쿠알란"
시크릿 선 스틱,퓨토(putto),선케어,"에칠헥실이소노나노에이트;실리카;세레신;다이메티콘;라우릴/미리스틸벤조에이트;에칠헥실메톡시신나메이트;징크옥사이드;트라이에틸헥사노인;티타늄디옥사이드;다이메티콘/비닐다이메티콘크로스폴리머;트라이메틸실록시실리케이트;사이클로펜타실록세인;콜레스테릴아이소스테아레이트;하이드레이티드실리카;비스-에칠헥실옥시페놀메톡시페닐트리아진;피이지-10다이메티콘;안디로바씨오일;글리세릴카프릴레이트;에틸헥산다이올;사이클로헥사실록세인;알루미늄하이드록사이드;스테아릭애씨드;올리보일하이드롤라이즈드밀단백질;글리세릴올리에이트;세테아릴알코올;향료;글리세릴스테아레이트;트라이에톡시카플릴릴실레인;약모밀추출물;긴병꽃추출물;질경이추출물;당느릅나무뿌리추출물;상엽추출물;부틸렌글라이콜;1,2-헥산다이올"
시크릿 수딩젤,퓨토(putto),크림/젤,"긴병꽃풀추출물;당느릅나무뿌리추출물;상엽추출물;약모밀추출물;질경이추출물;1,2-헥산다이올;부틸렌글라이콜;알지닌;카보머;베타-글루칸;판테놀;베타인;알란토인;세라마이드엔피;소듐하이알루로네이트"
시크릿 오일 겔,퓨토(putto),오일,"카프릴릭/카프릭트라이글리세라이드;식물성오일;글리세린;카멜리아키시씨오일;호호바씨오일;긴병꽃풀꽃/잎/줄기추출물;당느릅나무뿌리추출물;상엽추출물;약모밀추출물;질경이추출물;정제수;아르간커넬오일;슈크로오스라우레이트;부틸렌글라이콜;1,2-헥산다이올;베타-글루칸;향료;베타인;판테놀;세라마이드엔피;알란토인;소듐하이알루로네이트"
시크릿 크림,퓨토(putto),크림/젤,"약모밀추출물;질경이추출물;긴병꽃풀꽃/잎/줄기추출물;상엽추출물;당느릅나무뿌리추출물;부틸렌글라이콜;다이프로필렌글라이콜;카프릴릭/카프릭트라이글리세라이드;사이클로펜타실록세인;세테아릴알코올;글리세릴스테아레이트;폴리글리세릴-3메틸글루코오스다이스테아레이트;소듐하이알루로네이트;베타인;다이메티콘;1,2-헥산다이올;비즈왁스;폴리아크릴아마이드;C13-14아이소파라핀;라우레스-7;피이지-100스테아레이트;솔비탄스테아레이트;베타-글루칸;카보머;트라이에탄올아민;향료;세라마이드엔피;다이소듐이디티에이"
시크릿 클렌징 워터,퓨토(putto),클렌저/워시,"정제수;피이지-6카프릴릭/카프릭글리세라이드;1,2-헥산다이올;다이프로필렌글라이콜;약모밀추출물;긴병꽃풀추출물;질경이추출물;상엽추출물;당느릅나무뿌리추출물;부틸렌글라이콜;폴리솔베이트20;소듐시트레이트;시트릭애씨드;다이소듐이디티에이;향료"
시크릿 파우더 크림,퓨토(putto),크림/젤,"약모밀추출물;질경이추출물;긴병꽃풀꽃/잎/줄기추출물;상엽추출물;당느릅나무뿌리추출물;옥수수전분;아크릴레이트/C10-30알킬아크릴레이트크로스폴리머;부틸렌글라이콜;다이프로필렌글라이콜;부틸렌글라이콜다이카프릴레이트/다이카프레이트;C14-22알코올;C12-20알킬글루코사이드;소듐하이알루로네이트;피이지-100스테아레이트;글리세릴스테아레이트;카프릴릭/카프릭트라이글리세라이드;폴리솔베이트60;베타인;세테아릴알코올;카프릴릴글라이콜;카프릴하이드록사믹애씨드;글리세린;다이포타슘글리시리제이트;토코페릴아세테이트;1,2-헥산다이올;베타-글루칸;세라마이드엔피;포타슘하이드록사이드;향료"
시크릿 포레스트 아로마 로션,퓨토(putto),로션,"약모밀추출물;당느릅나무뿌리추출물;긴병꽃풀꽃/잎/줄기추출물;질경이추출물;상엽추출물;부틸렌글라이콜;다이프로필렌글라이콜;카프릴릭/카프릭트라이글리세라이드;1,2-헥산다이올;사이클로펜타실록세인;세테아릴알코올;폴리글리세릴-3메틸글루코오스다이스테아레이트;글리세릴스테아레이트;비즈왁스;다이메티콘;베타인;솔비탄스테아레이트;피이지-100스테아레이트;포리아크릴아마이드;C13-14아이소파라핀;라우레스-7;카보머;트라이에탄올아민;베타-글루칸;소듐하이알루로네이트;향료;다이소듐이디티에이;세라마이드엔피"
시크릿 포레스트 아로마 크림,퓨토(putto),크림/젤,"약모밀추출물;질경이추출물;긴병꽃풀꽃/잎/줄기추출물;상엽추출물;당느릅나무뿌리추출물;부틸렌글라이콜;다이프로필렌글라이콜;카프릴릭/카프릭트라이글리세라이드;트라이에틸헥사노인;세테아릴알코올;다이메티콘;1,2-헥산다이올;글리세릴스테아레이트;피이지-100스테아레이트;피이지-4올리베이트;비즈왁스;바이오사카라이드검-1;사이클로펜타실록세인;솔비탄세스퀴올리에이트;암모늄아크릴로일다이메틸타우레이트/브이피코폴리머;베타-글루칸;카보머;트라이에탄올아민;소듐하이알루로네이트;잔탄검;향료;세라마이드엔피;다이소듐이디티에이"
시크릿 폼 워시,퓨토(putto),클렌저/워시,"약모밀추출물;질경이추출물;긴병꽃풀꽃/잎/줄기추출물;상엽추출물;당느릅나무뿌리추출물;코카미도프로필베타인;데실글루코사이드;글리세린;다이소듐코코암포다이아세테이트;소듐메틸코코일타우레이트;스테아트라이모늄클로라이드;1,2-헥산다이올;소듐하이알루로네이트;베타-글루칸;판테놀;시트릭애씨드;다이소듐이디티에이;향료"
아토 시크릿 선 스크린,퓨토(putto),선케어,"긴병꽃풀꽃/잎/줄기추출물;약모밀추출물;질경이추출물;사이클로펜타실록세인;티타늄디옥사이드;프로판다이올;에칠헥실메톡시신나메이트;세테아릴알코올;글리세린;다이프로필렌글라이콜;당느릅나무뿌리추출물;부틸렌글라이콜;상엽추출물;옥토크릴렌;폴리솔베이트60;폴리글리세릴-3메틸글루코오스다이스테아레이트;메티콘;알루미나;피이지-10다이메티콘;헥실라우레이트;베타인;솔비탄올리베이트;1,2-헥산다이올;글리세릴스테아레이트;피이지-100스테아레이트;비스-에칠헥실옥시페놀메톡시페닐트리아진;마그네슘알루미늄실리케이트;향료;카프릴하이드록사믹애씨드;카프릴릴글라이콜;잔탄검;트라이에탄올아민;판테놀;하이드록시에틸셀룰로오스;다이소듐이디티에이;토코페릴아세테이트;베타-글루칸;세라마이드엔피;쉐어버터;스쿠알란"
테라피 엔젤 레시피 로션,퓨토(putto),로션,금불초꽃추출물;바위솔추출물;비파나무잎추출물;얼룩조릿대잎추출물;부틸렌글라이콜;다이프로필렌글라이콜;카프릴릭/카프릭트라이글리세라이드;사이클로펜타실록세인;세테아릴알코올;폴리글리세릴-3메틸글루코오스다이스테아레이트;글리세릴스테아레이트;에틸헥산다이올;다이메티콘;베타인;비즈왁스;솔비탄스테아레이트;피이지-100스테아레이트;소듐아크릴레이트/소듐아크릴로일다이메틸다우레이트코폴리머;아이소헥사데칸;폴리솔베이트80;카보머;카프릴하이드록사믹애씨드;트로메타민;베타-글루칸;향료;글리세린;카프릴릴글라이콜;효모발효여과물;대추나무잎추출물;락토바실러스발효물;카카오씨추출물;곤포추출물;다이소듐이디티에이;세라마이드엔피;소듐하이알루로네이트;리날룰;부틸페닐메틸프로피오날;헥실신나몰;리모넨;시트로넬올
테라피 엔젤 레시피 리퀴드겔,퓨토(putto),크림/젤,"금불초꽃추출물;바위솔추출물;비파나무잎추출물;얼룩조릿대잎추출물;부틸렌글라이콜;1,2-헥산다이올;에틸헥산다이올;알지닌;카보머;베타-글루칸;판테놀;베타인;알란토인;효모발효여과물;대추나무잎추출물;락토바실러스발효물;카카오씨추출물;곤포추출물;세라마이드엔피;소듐하이알루로네이트"
테라피 엔젤 레시피 샴푸앤린스,퓨토(putto),헤어,티이에이-라우릴설페이트;코카미도프로필베타인;비파나무잎추출물;금불초꽃추출물;바위솔추출물;얼룩조릿대잎추출물;아크릴레이트코폴리머;글리세린;피이지-7글리세릴코코에이트;피이지-120메틸글루코오스디올리에이트;소듐피씨에이;코카마이드디이에이;실리콘쿼터늄-1;향료;트라이메틸실록시아모다이메티콘;카프릴하이드록사믹애씨드;카프릴릴글라이콜;포타슘하이드록사이드;폴리쿼터늄-10;판테놀;곤포추출물;효모발효여과물;부틸렌글라이콜;대추나무잎추출물;락토바실러스발효물;에틸헥산다이올;카카오씨추출물;다이소듐이디티에이
테라피 엔젤 레시피 선스크린,퓨토(putto),선케어,사이클로펜타실록세인;금불초꽃추출물;바위솔추출물;비파나무잎추출물;얼룩조릿대잎추출물;티타늄디옥사이드;프로판다이올;에칠헥실메톡시신나메이트;세테아릴알코올;글리세린;다이프로필렌글라이콜;옥토크릴렌;폴리솔베이트60;폴리글리세릴-3메틸글루코오스다이스테아레이트;메티콘;알루미나;피이지-10다이메티콘;헥실라우레이트;부틸렌글라이콜;베타인;솔비탄올리베이트;에틸헥산다이올;글리세릴스테아레이트;피이지-100스테아레이트;비스-에칠헥실옥시페놀메톡시페닐트리아진;마그네슘알루미늄실리케이트;카프릴하이드록사믹애씨드;카프릴릴글라이콜;잔탄검;트라이에탄올아민;판테놀;하이드록시에틸셀룰로오스;다이소듐이디티에이;토코페릴아세테이트;효모발효여과물;대추나무잎추출물;락토바실러스발효물;곤포추출물;카카오씨추출물
테라피 엔젤 레시피 크림,퓨토(putto),크림/젤,금불초꽃추출물;바위솔추출물;비파나무잎추출물;얼룩조릿대잎추출물;부틸렌글라이콜;다이프로필렌글라이콜;카프릴릭/카프릭트라이글리세라이드;세테아릴알코올;트라이에틸헥사노인;에틸헥산다이올;사이클로펜타실록세인;피이지-4올리베이트;글리세릴스테아레이트;솔비탄세스퀴올리에이트;다이메티콘;비즈왁스;바이오사카라이드검-1;베타-글루칸;암모늄아크릴로일다이메틸타우레이트/브이피코폴리머;카보머;트로메타민;카프릴하이드록사믹애씨드;글리세린;카프릴릴글라이콜;잔탄검;향료;효모발효여과물;대추나무잎추출물;다이소듐이디티에이;락토바실러스발효물;카카오씨추출물;곤포추출물;세라마이드엔피;소듐하이알루로네이트;리날룰;부틸페닐메틸프로피오날;헥실신나몰;리모넨;시트로넬올
테라피 엔젤 레시피 톡톡바스,퓨토(putto),클렌저/워시,코카미도프로필베타인;티이에이-라우릴설페이트;금불초꽃추출물;바위솔추출물;비파나무잎추출물;얼룩조릿대잎추출물;아크릴레이트코폴리머;글리세린;코카마이드디이에이;부틸렌글라이콜;에틸헥산다이올;트라이메틸실록시아모다이메티콘;피이지-12다이메티콘;향료;포타슘하이드록사이드;폴리쿼터늄-10;카프릴하이드록사믹애씨드;카프릴릴글라이콜;판테놀;다이소듐이디티에이;효모발효여과물;대추나무잎추출물;락토바실러스발효물;곤포추출물;카카오씨추출물;부틸페닐메틸프로피오날;제라니올;리날룰;하이드록시이소헥실3-사이클로헥센카복스알데하이드;알파-이소메틸이오논
로션,퓨토큐어(puttocure),로션,라벤더꽃수;글리세린;에틸헥실스테아레이트;마카다미아넛오일;카프릴릭/카프릭트라이글리세라이드;해바라기씨오일;스테아릴알코올;세테아릴올리베이트;솔비탄올리베이트;세틸알코올;폴리글리세릴-3메틸글루코오스다이스테아레이트;쉐어버터;베타-글루칸;에틸헥산다이올;글리세릴카프릴레이트;판테놀;알로에베라잎추출물;알지닌;아크릴레이트/C10-30알킬아크릴레이트크로스폴리머;병풀추출물;부틸렌글라이콜;산수유열매추출물;오미자추출물;구기자추출물;오디추출물;복분자추출물;잣나무씨추출물;참당귀추출물;시호추출물;맥문동추출물;천문동뿌리추출물;라벤더오일;세라마이드엔피;테아닌;우유지질;글루타티온
바스앤샴푸,퓨토큐어(PUTTOCURE),클렌저/워시,다이소듐라우레스설포석시네이트;정제수;글리세린;소듐라우릴글루코오스카복실레이트;라우릴글루코사이드;소듐라우로일글루타메이트;소듐클로라이드;라벤더꽃수;소듐글루코네이트;에틸헥산다이올;글리세릴카프릴레이트;알지닌;라벤더오일;아크릴레이트/c10-30알킬아크릴레이트크로스폴리머;베타-글루칸;판테놀;알로에베라잎추출물;병풀추출물;참당귀추출물;시호추출물;맥문동추출물;천문동뿌리추출물;부틸렌글라이콜;산수유열매추출물;오미자추출물;구기자추출물;오디추출물;복분자추출물;잣나무씨추출물;테아닌;우유지질;글루타티온
수딩젤,퓨토큐어(PUTTOCURE),크림/젤,라벤더꽃수;글리세린;하이알루로닉애씨드;부틸렌글라이콜;판테놀;베타-글루칸;에틸헥산다이올;글리세릴카프릴레이트;베타인;알로에베라잎추출물;알지닌;카보머;옥틸도데세스-16;알란토인;병풀추출물;산수유열매추출물;오미자추출물;구기자추출물;복분자추출물;잣나무씨추출물;참당귀추출물;시호추출물;맥문동추출물;천문동뿌리추출물;다이포타슘글리시리제이트;테트라소듐이디티에이;우유지질;글루타티온
