제품명,브랜드,카테고리,성분명
얼티메이트 힐링 스킨 테라피 로션,골드본드(GOLDBOND),로션,정제수;글리세린;다이메티콘;페트롤라툼;호호바에스터;세틸알코올;알로에베라잎즙;스테아릴알코올;다이스테아릴다이모늄클로라이드;세테아릴알코올;스테아레스-21;스테아레스-2;캐모마일꽃추출물;판테놀;토코페릴아세테이트;하이드롤라이즈드호호바에스터;폴리솔베이트60;스테아라미도프로필피지-디모늄클로라이드포스페이트;메틸글루세스-20;디아졸리디닐우레아;글리세릴스테아레이트;디포타슘이디티에이;마그네슘아스코빌포스페이트;메틸파라벤;프로필렌글라이콜;레티닐팔미테이트
물티슈[스위트],곰돌이,물티슈,정제수;소듐벤조에이트;라우릴베타인;시트릭애씨드;글리세릴카프릴레이트;레불리닉애씨드;프로필렌글라이콜;p-아니식애씨드;소듐클로라이드;폴리솔베이트20;녹두추출물;알로에베라잎추출물;감초추출물;시메티콘;라벤더오일
블랙라벨 물티슈,곰돌이,물티슈,"정제수;녹두추출물;알로에베라잎추출물;소듐벤조에이트;1,2-헥산다이올;카프릴릴글라이콜;리놀레아미도프로필피지-디모늄클로라이드포스페이트"
바세린 베이비 알로에 수딩젤,과일나라(KWAILNARA),크림/젤,"정제수;부틸렌글라이콜;글리세린;1,2-헥산다이올;하이드록시아세토페논;판테놀;카보머;트로메타민;알란토인;다이포타슘글리시리제이트;옥틸도데세스-16;다이소듐이디티에이;알로에베라잎즙;베타-글루칸;라벤더오일;글리세릴아크릴리레이트/아크릴릭애씨드코폴리머;편백수;병풀추출물;에틸헥실글리세린;호장근뿌리추출물;황금추출물;녹차추출물;스페인감초뿌리추출물;캐모마일꽃추출물;로즈마리잎추출물;밤부사 불가리스추출물"
바세린 울트라 모이스처 베이비 로션,과일나라(KWAILNARA),로션,정제수;카프릴릭/카프릭트라이글리세라이드;글리세린;부틸렌글라이콜;세틸알코올;글리세릴스테아레이트;폴리솔베이트60;다이메티콘;피이지-100스테아레이트;팔미틱애씨드;솔비탄스테아레이트;스테아릭애씨드;스테아릴알코올;소듐폴리아크릴레이트;에틸헥실스테아레이트;미리스틸알코올;시어버터;암모늄아크릴로일다이메틸타우레이트/브이피코폴리머;라우릴알코올;세룰라타벚나무꽃추출물;국화꽃추출물;로즈마리추출물;트라이데세스-6;달팽이점액여과물;노니추출물;편백수;화피추출물;쟈스민추출물;페트롤라툼;다이소듐이디티에이;페녹시에탄올;클로페네신;향료
바세린 울트라 모이스처 베이비 바쓰&샴푸,과일나라(KWAILNARA),클렌저/워시,정제수;글리세린;다이소듐코코암포다이아세테이트;코카미도프로필베타인;다이소듐라우레스설포석시네이트;소듐클로라이드;피이지-150디스테아레이트;시트릭애씨드;프로필렌글라이콜라우레이트;헥실렌글라이콜;부틸렌글라이콜;세룰라타벚나무꽃추출물;국화꽃추출물;로즈마리추출물;스타이렌/아크릴레이트코폴리머;달팽이점액여과물;노니추출물;편백수;화피추출물;쟈스민추출물;페트롤라툼;다이소듐이디티에이;소듐벤조에이트;페녹시에탄올;향료
바세린 울트라 모이스처 베이비 크림,과일나라(KWAILNARA),크림/젤,정제수;글리세린;아이소프로필미리스테이트;세틸알코올;폴리솔베이트60;사이클로펜타실록세인;미네랄오일;글리세릴스테아레이트;스테아릴알코올;세테아릴알코올;시어버터;피이지-100스테아레이트;페트룰라툼;다이메티콘;소듐폴리아크릴레이트;미리스틸알코올;솔비탄세스퀴올리에이트;세레신;에틸헥실스테아레이트;팔미틱애씨드;판테놀;라우릴알코올;스테아릭애씨드;다이포타슘글리시리제이트;부틸렌글라이콜;세룰라타벚나무꽃추출물;국화꽃추출물;로즈마리추출물;트라이데세스-6;달팽이점액여과물;노니추출물;편백수;화피추출물;쟈스민추출물;호호바씨오일;해바라기씨오일;다이소듐이디티에이;페녹시에탄올;클로페네신;향료
한방이물티슈[STEP1],국민물티슈,물티슈,정제수;황금추출물;청미래덩굴뿌리추출물;형개추출물;연교추출물;개구리밥추출물;카프릴릴글라이콜;헥산디올;펜틸렌글라이콜;코카미도프로필피지-다이모늄클로라이드포스페이트
베이비 로션,굿센스(GOODSENSE),로션,정제수;아이소프로필팔미테이트;글리세린;글리세릴스테아레이트;세틸알코올;스테아릭애씨드;세테아릴알코올;다이메티콘;미네랄오일;올레익애씨드;폴리솔베이트20;마그네슘알루미늄실리케이트;페녹시에탄올;향료;카보머;카프릴릴글라이콜;잔탄검;소듐하이드록사이드;펜타에리스리틸테트라-다이-t-부틸하이드록시하이드로신나메이트;적색227호
베이비 배스,굿센스(GOODSENSE),클렌저/워시,정제수;코카미도프로필베타인;소듐라우릴설페이트;피이지-80솔비탄라우레이트;소듐트리데세스설페이트;피이지-150디스테아레이트;테트라소듐이디티에이;소듐클로라이드;폴리쿼터늄-10;향료;쿼터늄-15;시트릭애씨드
다이애퍼 프로 크림,궁중피책(GOONGBE),크림/젤,"정제수;징크옥사이드;시어버터;부틸렌글라이콜;세틸에틸헥사노에이트;글리세린;펜틸렌글라이콜;세테아릴알코올;동백나무씨오일;판테놀;베헤닐알코올;세테아릴글루코사이드;팔미틱애씨드;상엽추출물;흰버드나무껍질추출물;회화나무뿌리추출물;복사나무잎추출물;매실추출물;사철쑥추출물;하이드로제네이티드식물성오일;마카다미아넛오일;스테아릴애씨드;포타슘세틸포스페이트;하이드로제네이티드레시틴;알란토인;셀룰로오스검;마이크로크리스탈린셀룰로오스;트레할로오스;트로메타민;미리스틱애씨드;메틸프로판다이올;아라키딕애씨드;라우릭애씨드;1,2-헥산다이올;올레익애씨드;토코페롤;에틸헥실글리세린;잔탄검;다이소듐이디티에이"
데일리 엠보싱 물티슈,궁중비책(GOONGBE),물티슈,"정제수;복사나무잎추출물;매실추출물;상엽추출물;회화나무뿌리추출물;흰버드나무껍질추출물;연꽃추출물;메틸프로판다이올;1,2-헥산다이올;에틸헥실글리세린;부틸렌글라이콜;글리세린;카프릴릴글라이콜;시트릭애씨드;소듐벤조에이트;폴리솔베이트20;향료"
마일드 클렌징 티슈,궁중비책(GOONGBE),물티슈,"정제수;헥실렌글라이콜;사이클로펜타실록세인;사이클로헥사실록세인;복사나무잎추출물;매실추출물;뽕나무잎추출물;회화나무뿌리추출물;흰버드나무껍질추출물;병풀추출물;팥추출물;귀리커넬오일;연꽃추출물;글리세린;부틸렌글라이콜;에틸헥실팔미테이트;메틸프로판다이올;1,2-헥산다이올;베르가모트오일;발삼코파이바수지;센티드제라늄꽃오일;화이트참파카꽃오일;오렌지껍질오일;스피어민트잎오일;탄제린껍질오일;티트리잎오일;선백리향꽃/잎오일;폴리솔베이트20;카프릴릴글라이콜;소듐벤조에이트;에틸헥실글리세린;시트릭애씨드"
모이스처 로션,궁중비책(GOONGBE),로션,"정제수;글리세린;마카다미아넛오일;하이드로제네이티드폴리;부틸렌글라이콜;코코넛야자오일;다이아이소스테아릴말레이트;폴리글리세릴-3메틸글루코오스다이스테아레이트;쉐어버터;글리세릴스테아레이트에스이;펜틸렌글라이콜;판테놀;상엽추출물;흰버드나무껍질추출물;회화나무뿌리추출물;복사나무잎추출물;매실추출물;쌀추출물;세라마이드엔피;다이메티콘;프로판다이올;1,2-헥산다이올;소듐아크릴레이트/소듐아크릴로일다이메틸타우레이트코폴리머;카프릴릴글라이콜;셀룰로오스검;마이크로크리스탈린셀룰로오스;아이소헥사데칸;카프릴릭/카프릭트라이글리세라이드;메틸프로판다이올;폴리솔베이트80;하이드로제네이티드레시틴;팔미틱애씨드;시트릭애씨드;솔비탄올리에이트;피토스핑고신;에틸헥실글리세린;세테아릴알코올;잔탄검;C12-16알코올;다이소듐이디티에이;향료"
모이스처 스틱 밤,궁중비책(GOONGBE),크림/젤,"해바라기씨오일;비즈왁스;올리브오일;시어버터;피토스테릴/아이소스테아릴/세틸/스테아릴/베헤닐다이머디리놀리에이트;솔비탄올리베이트;스위트아몬드오일;카프릴릭/카프릭트라이글리세라이드;상엽추출물;흰버드나무껍질추출물;회화나무뿌리추출물;복사나무잎추출물;매실추출물;쌀추출물;세라마이드엔피;판테놀;글리세릴카프릴레이트;솔비탄세스퀴올리에이트;토코페릴아세테이트;메틸프로판다이올;1,2-헥산다이올;에틸헥실글리세린;토코페롤;정제수;부틸렌글라이콜;향료"
모이스처 크림,궁중비책(GOONGBE),크림/젤,"정제수;글리세린;시어버터;세테아릴알코올;마카다미아넛오일;다이카프릴릴카보네이트;카프릴릭/카프릭트라이글리세라이드;옥틸도데칸올;1,2-헥산다이올;세테아릴올리베이트;폴리글리세릴-3메틸글루코오스다이스테아레이트;솔비탄올리베이트;C12-16알코올;상엽추출물;흰버드나무껍질추출물;회화나무뿌리추출물;복사나무잎추출물;매실추출물;쌀추출물;세라마이드엔피;다이메티콘;펜틸렌글라이콜;카나우바왁스;하이드로제네이티드레시틴;팔미틱애씨드;암모늄아크릴로일다이메틸타우레이트/브이피코폴리머;카프릴릴글라이콜;셀룰로오스검;마이크로크리스탈린셀룰로오스;메틸프로판다이올;에틸헥실글리세린;부틸렌글라이콜;피토스핑고신;스테아릴알코올;잔탄검;향료"
